type,amount,oldbalanceOrg,newbalanceOrig,isFraud
4,7365106.76,7365106.76,0.0,1
4,276298.49,276298.49,0.0,1
4,4720554.95,4720554.95,0.0,1
3,165212.44,16088.0,181300.44,0
1,2424380.16,2424380.16,0.0,1
2,17069.29,0.0,0.0,0
1,56239.04,0.0,0.0,0
4,169879.6,270.0,0.0,0
4,471906.6,471906.6,0.0,1
4,140522.67,0.0,0.0,0
2,10912.01,0.0,0.0,0
1,1795622.71,1795622.71,0.0,1
1,199355.35,0.0,0.0,0
4,864949.1,0.0,0.0,0
1,10000000.0,10000000.0,0.0,1
1,1094419.89,1094419.89,0.0,1
4,329728.11,329728.11,0.0,1
1,3569720.42,3569720.42,0.0,1
1,185529.91,185529.91,0.0,1
4,7983958.34,7983958.34,0.0,1
1,10000000.0,10000000.0,0.0,1
2,3735.45,105025.0,101289.55,0
2,10753.11,2162.0,0.0,0
3,286821.15,3286082.24,3572903.4,0
1,19454.82,0.0,0.0,0
2,38189.13,317568.86,279379.73,0
3,339842.32,2045.0,341887.32,0
1,1646181.09,1646181.09,0.0,1
1,159109.66,0.0,0.0,0
1,1762680.47,1762680.47,0.0,1
1,1122827.94,1122827.94,0.0,1
1,736370.54,736370.54,0.0,1
3,25518.13,61364.0,86882.13,0
4,813757.3,5678.0,0.0,0
3,92175.98,7270594.86,7362770.84,0
4,3574316.05,3574316.05,0.0,1
4,895565.06,895565.06,0.0,1
1,665489.33,665489.33,0.0,1
4,326250.51,326250.51,0.0,1
1,236506.05,0.0,0.0,0
1,33498.17,100628.0,67129.83,0
1,277537.52,79.0,0.0,0
1,23610.85,23610.85,0.0,1
4,3283695.97,3283695.97,0.0,1
4,751854.42,751854.42,0.0,1
1,2082884.49,2082884.49,0.0,1
4,1390048.67,1390048.67,0.0,1
1,76939.14,0.0,0.0,0
1,168622.3,168622.3,0.0,1
1,498183.25,498183.25,0.0,1
1,127905.82,127905.82,0.0,1
4,104957.85,104957.85,0.0,1
3,173832.25,14846332.51,15020164.76,0
4,71867.47,71867.47,0.0,1
4,55828.87,55828.87,0.0,1
4,1074.81,1074.81,0.0,1
2,3149.25,0.0,0.0,0
4,2517188.06,2517188.06,0.0,1
1,1619313.55,1619313.55,0.0,1
1,135892.17,34299.0,0.0,0
1,732198.35,732198.35,0.0,1
4,32382.96,32382.96,0.0,1
1,10000000.0,10000000.0,0.0,1
4,10000000.0,20353874.22,10353874.22,1
4,36532.84,36532.84,0.0,1
4,507521.42,507521.42,0.0,1
4,697790.67,0.0,0.0,0
1,46291.81,46291.81,0.0,1
4,1259972.05,1259972.05,0.0,1
4,1342569.86,756.0,0.0,0
4,561446.32,561446.32,0.0,1
1,246130.01,831172.27,585042.26,0
2,43554.92,238.0,0.0,0
2,7007.35,134.0,0.0,0
3,284469.87,6186.0,290655.87,0
1,79617.52,0.0,0.0,0
1,1504870.33,1504870.33,0.0,1
1,5141769.94,5141769.94,0.0,1
1,152465.87,16563.0,0.0,0
1,54059.08,3943.0,0.0,0
1,17643.45,0.0,0.0,0
1,568482.26,177.0,0.0,0
1,266351.6,266351.6,0.0,1
4,76200.04,76200.04,0.0,1
1,38327.42,24884.0,0.0,0
3,325791.64,8104666.77,8430458.41,0
1,107983.9,6074.0,0.0,0
1,17957.45,0.0,0.0,0
2,6207.75,5967.0,0.0,0
2,7163.31,19847.0,12683.69,0
1,38040.65,32190.0,0.0,0
3,269340.9,1378408.3,1647749.2,0
1,137164.62,5629.0,0.0,0
1,138666.36,0.0,0.0,0
1,237776.02,237776.02,0.0,1
3,71685.58,8230056.14,8301741.72,0
2,11390.59,431749.0,420358.41,0
2,3399.48,2073.09,0.0,0
4,90204.54,90204.54,0.0,1
4,244814.12,244814.12,0.0,1
1,140510.09,0.0,0.0,0
1,63255.31,8578.91,0.0,0
1,13577.34,20605.0,7027.66,0
1,7927.06,7927.06,0.0,1
4,1158373.23,1158373.23,0.0,1
2,12170.99,919243.83,907072.84,0
1,252417.45,252417.45,0.0,1
4,310726.29,310726.29,0.0,1
4,5166393.44,5166393.44,0.0,1
3,123739.29,2391.0,126130.29,0
4,456930.88,456930.88,0.0,1
1,799123.57,799123.57,0.0,1
1,6027.32,0.0,0.0,0
4,1059682.92,1059682.92,0.0,1
2,23316.57,0.0,0.0,0
1,335219.49,335219.49,0.0,1
2,28370.13,0.0,0.0,0
3,66524.45,1614284.93,1680809.38,0
4,10000000.0,15274773.52,5274773.52,1
3,316035.66,7390891.44,7706927.1,0
3,305203.28,11575.0,316778.28,0
2,3381.84,0.0,0.0,0
1,1265656.44,1265656.44,0.0,1
4,342675.47,342675.47,0.0,1
2,455.11,0.0,0.0,0
1,48020.81,72148.0,24127.19,0
4,440962.56,440962.56,0.0,1
1,7922.98,7922.98,0.0,1
1,15458.95,13644.0,0.0,0
1,240351.46,32567.46,0.0,0
4,235988.24,15243.0,0.0,0
2,4562.05,28525.0,23962.95,0
1,810599.16,810599.16,0.0,1
4,43159.0,43159.0,0.0,1
1,2153055.36,2153055.36,0.0,1
2,15491.13,0.0,0.0,0
2,1732.59,277337.14,275604.54,0
3,164570.25,5098.0,169668.25,0
4,570135.07,570135.07,0.0,1
1,748139.48,748139.48,0.0,1
1,360688.3,360688.3,0.0,1
4,581840.99,0.0,0.0,0
2,5492.44,11302.0,5809.56,0
1,314097.59,0.0,0.0,0
1,80700.24,0.0,0.0,0
1,508782.2,0.0,0.0,1
1,195858.23,0.0,0.0,0
1,182269.57,0.0,0.0,0
1,306302.54,0.0,0.0,0
1,1273674.05,1273674.05,0.0,1
4,9033760.73,9033760.73,0.0,1
2,11231.7,14464.0,3232.3,0
2,6204.35,0.0,0.0,0
1,240580.4,240580.4,0.0,1
4,1121785.99,0.0,0.0,0
4,175203.45,175203.45,0.0,1
1,172238.36,0.0,0.0,0
4,2145934.81,2145934.81,0.0,1
1,39205.61,0.0,0.0,0
1,21571.0,21571.0,0.0,1
3,222527.8,34.0,222561.8,0
1,2163012.63,2163012.63,0.0,1
1,243495.14,10549.0,0.0,0
4,21367.0,21367.0,0.0,1
1,166972.46,166972.46,0.0,1
4,606501.57,606501.57,0.0,1
3,10508.86,4675951.25,4686460.11,0
2,2699.71,30761.0,28061.29,0
4,2173367.35,2173367.35,0.0,1
2,3921.53,0.0,0.0,0
1,141864.36,0.0,0.0,0
3,348265.71,21989006.68,22337272.39,0
4,601494.61,601494.61,0.0,1
1,786480.78,786480.78,0.0,1
1,1532281.61,1532281.61,0.0,1
2,8997.53,90561.0,81563.47,0
1,312971.23,312971.23,0.0,1
4,202424.88,8480.0,0.0,0
1,1301410.68,1301410.68,0.0,1
2,1237.19,50056.0,48818.81,0
2,4528.89,298478.0,293949.11,0
4,146729.67,146729.67,0.0,1
4,595817.1,0.0,0.0,0
2,17949.61,0.0,0.0,0
1,1139983.15,1139983.15,0.0,1
1,713404.6,713404.6,0.0,1
4,55696.04,0.0,0.0,0
1,60831.28,839.0,0.0,0
4,188097.08,188097.08,0.0,1
4,1350574.58,1350574.58,0.0,1
4,173782.59,173782.59,0.0,1
4,6703831.4,6703831.4,0.0,1
1,3712.11,3712.11,0.0,1
1,36452.88,0.0,0.0,0
1,36795.18,41483.0,4687.82,0
2,41090.73,0.0,0.0,0
4,417103.68,417103.68,0.0,1
1,10000000.0,10000000.0,0.0,1
1,4454632.3,4454632.3,0.0,1
1,1893451.73,1893451.73,0.0,1
3,170845.54,1783968.29,1954813.83,0
1,620791.47,620791.47,0.0,1
4,178616.12,178616.12,0.0,1
4,542222.77,542222.77,0.0,1
4,151994.59,151994.59,0.0,1
1,14279.89,14279.89,0.0,1
1,171935.25,171935.25,0.0,1
1,33199.44,41.0,0.0,0
4,237567.35,237567.35,0.0,1
1,455014.69,455014.69,0.0,1
1,149668.66,0.0,0.0,1
2,21249.13,112177.18,90928.05,0
3,45772.54,24269462.41,24315234.95,0
1,3924102.18,3924102.18,0.0,1
1,417620.07,417620.07,0.0,1
1,371449.7,371449.7,0.0,1
2,13598.81,0.0,0.0,0
1,657417.64,657417.64,0.0,1
1,515645.16,515645.16,0.0,1
1,178465.7,40245.0,0.0,0
1,124057.58,124057.58,0.0,1
2,6816.01,0.0,0.0,0
4,1946172.56,301034.0,0.0,0
4,34498.05,34498.05,0.0,1
1,179770.19,0.0,0.0,0
2,13820.5,11166.0,0.0,0
4,3171085.59,3171085.59,3171085.59,1
4,10000000.0,37418265.31,27418265.31,1
4,50845.13,50845.13,0.0,1
1,28136.35,146733.36,118597.01,0
1,1697655.62,1697655.62,0.0,1
1,127320.06,147110.0,19789.94,0
1,1231309.64,1231309.64,0.0,1
1,249791.3,249791.3,0.0,1
1,167679.27,167679.27,0.0,1
2,468.35,259668.0,259199.65,0
1,231161.48,231161.48,0.0,1
1,341441.17,341441.17,0.0,1
3,143574.08,26660.67,170234.75,0
4,1165187.89,1165187.89,0.0,1
4,448004.86,448004.86,0.0,1
1,1281113.84,1281113.84,0.0,1
1,49792.52,0.0,0.0,0
4,1654055.02,1654055.02,0.0,1
1,6199009.0,6199009.0,0.0,1
1,199414.45,199414.45,0.0,1
1,408906.38,0.0,0.0,0
1,4339822.23,4339822.23,0.0,1
1,36912.27,0.0,0.0,0
2,3723.8,20074.0,16350.2,0
3,330030.51,6839481.74,7169512.26,0
2,5523.38,18796.18,13272.79,0
4,1049232.11,1049232.11,0.0,1
1,228706.19,228706.19,0.0,1
1,82398.44,0.0,0.0,0
3,74222.23,405901.27,480123.5,0
1,192765.49,192765.49,0.0,1
1,301310.54,147335.11,0.0,0
1,115535.52,115535.52,0.0,1
1,1399724.98,1399724.98,0.0,1
4,175597.64,175597.64,0.0,1
2,15685.23,50385.0,34699.77,0
2,20644.69,325192.23,304547.54,0
2,17856.17,324804.11,306947.94,0
1,139088.91,0.0,0.0,0
2,24728.43,2655.0,0.0,0
1,40867.66,40867.66,0.0,1
2,29583.83,0.0,0.0,0
1,3574316.05,3574316.05,0.0,1
4,58737.53,58737.53,0.0,1
1,461255.26,461255.26,0.0,1
4,3288377.47,3288377.47,0.0,1
1,272574.03,0.0,0.0,0
2,16374.1,25342.0,8967.9,0
2,10760.57,24059.0,13298.43,0
1,5175876.53,5175876.53,0.0,1
2,12051.99,43425.0,31373.01,0
4,134383.84,134383.84,0.0,1
4,88099.88,88099.88,0.0,1
1,326394.8,326394.8,0.0,1
4,134515.36,134515.36,0.0,1
4,3260215.75,3260215.75,0.0,1
1,113114.95,51048.0,0.0,0
1,1116508.49,1116508.49,0.0,1
2,1764.41,0.0,0.0,0
1,104084.88,25145.0,0.0,0
1,174296.71,174296.71,0.0,1
4,257643.59,257643.59,0.0,1
3,66118.57,7754034.86,7820153.43,0
4,924535.09,0.0,0.0,0
2,5707.65,296059.67,290352.02,0
1,102948.44,60971.0,0.0,0
1,128133.0,128133.0,0.0,1
4,7567170.36,7567170.36,0.0,1
2,7215.04,290038.0,282822.96,0
1,89892.75,329886.0,239993.25,0
1,624686.04,624686.04,0.0,1
1,204721.27,204721.27,0.0,1
3,193342.75,87.0,193429.75,0
4,767755.17,767755.17,0.0,1
3,326391.09,7724169.23,8050560.32,0
4,798007.45,798007.45,0.0,1
1,70173.64,70173.64,0.0,1
4,329937.88,329937.88,0.0,1
4,72389.42,72389.42,0.0,1
1,327773.15,327773.15,0.0,1
1,380408.62,277185.0,0.0,0
1,114889.61,114889.61,0.0,1
4,802483.88,802483.88,0.0,1
2,30592.81,13595.0,0.0,0
1,450489.27,450489.27,0.0,1
4,143032.0,143032.0,0.0,1
1,1027963.96,1027963.96,0.0,1
2,26727.04,1506.0,0.0,0
1,56457.08,19827.0,0.0,0
4,49996.47,0.0,0.0,0
1,1748611.28,1748611.28,0.0,1
1,503961.93,503961.93,0.0,1
1,180967.56,180967.56,0.0,1
3,231203.75,4922595.68,5153799.43,0
2,762.98,72666.0,71903.02,0
1,177680.54,177680.54,0.0,1
1,64181.21,64181.21,0.0,1
1,105254.77,20635.0,0.0,0
1,439810.57,35108.0,0.0,0
3,28785.16,3952947.11,3981732.27,0
1,263945.56,0.0,0.0,0
4,10000000.0,17418265.31,7418265.31,1
4,210525.95,210525.95,0.0,1
4,1822754.86,1822754.86,0.0,1
1,455483.02,7112.0,0.0,0
4,967153.5,967153.5,0.0,1
4,25616.71,25616.71,0.0,1
1,142336.65,142336.65,0.0,1
1,287720.41,287720.41,0.0,1
2,207.21,14075.04,13867.83,0
2,5139.71,0.0,0.0,0
1,76646.05,76646.05,0.0,1
4,31930.24,31930.24,0.0,1
1,153400.77,2494.0,0.0,0
4,486175.4,486175.4,0.0,1
1,40611.22,0.0,0.0,1
1,84885.3,0.0,0.0,0
2,1991.55,11410.0,9418.45,0
1,1074.81,1074.81,0.0,1
1,32405.73,0.0,0.0,0
1,244312.69,244312.69,0.0,1
2,9913.24,24729.0,14815.76,0
4,236330.48,988.0,0.0,0
4,7476725.66,7476725.66,0.0,1
1,4526748.52,4526748.52,0.0,1
1,983417.49,983417.49,0.0,1
1,1494146.93,1494146.93,0.0,1
1,199409.48,0.0,0.0,0
4,2395.29,2395.29,0.0,1
4,1687138.01,0.0,0.0,0
2,16816.38,924.0,0.0,0
1,56517.37,56517.37,0.0,1
4,150924.76,150924.76,0.0,1
1,96821.92,161953.66,65131.74,0
4,1938347.14,1938347.14,0.0,1
1,143096.0,0.0,0.0,0
1,30517.26,13801.77,0.0,0
1,176063.36,0.0,0.0,0
1,6891.77,0.0,0.0,0
1,4278.99,118392.0,114113.01,0
4,405062.33,405062.33,0.0,1
1,337974.21,337974.21,0.0,1
4,1994525.04,1994525.04,0.0,1
1,128780.87,0.0,0.0,0
4,130278.99,130278.99,0.0,1
4,115782.68,115782.68,0.0,1
1,408848.59,0.0,0.0,0
4,36371.77,36371.77,0.0,1
1,3120690.98,3120690.98,0.0,1
1,189876.79,0.0,0.0,0
1,10000000.0,10000000.0,0.0,1
1,222555.35,519848.0,297292.65,0
4,130479.52,130479.52,0.0,1
1,190007.42,5009.0,0.0,0
1,61470.02,61470.02,0.0,1
2,9413.21,49561.0,40147.79,0
1,35759.12,35759.12,0.0,1
1,197092.36,0.0,0.0,0
1,207565.93,30075.0,0.0,0
1,1464160.5,1464160.5,0.0,1
3,122958.83,19336175.68,19459134.51,0
1,1158358.08,1158358.08,0.0,1
1,17246.0,17246.0,0.0,1
4,10000000.0,14953893.08,4953893.08,1
1,2190762.32,2190762.32,0.0,1
1,54711.57,0.0,0.0,0
1,130653.37,130653.37,0.0,1
1,1994525.04,1994525.04,0.0,1
4,1385110.91,60471.0,0.0,0
2,34315.27,0.0,0.0,0
2,776.75,0.0,0.0,0
4,2960254.17,2960254.17,0.0,1
2,3972.42,1702.0,0.0,0
4,10565.0,10565.0,0.0,1
4,1743864.1,1743864.1,0.0,1
3,293853.99,781.0,294634.99,0
1,276094.65,1473.0,0.0,0
4,2149976.69,2149976.69,0.0,1
4,30790.13,30790.13,0.0,1
1,2241630.36,2241630.36,0.0,1
1,950766.15,950766.15,0.0,1
4,496482.01,11589.0,0.0,0
2,1389.01,128217.8,126828.79,0
2,7882.77,0.0,0.0,0
3,159608.36,100574.0,260182.36,0
3,22044.79,3608622.27,3630667.06,0
1,60621.01,0.0,0.0,0
3,325855.64,7598340.49,7924196.13,0
1,94059.25,0.0,0.0,0
1,401089.37,116.0,0.0,0
1,10224.0,10224.0,0.0,1
2,7791.56,0.0,0.0,0
2,12506.43,0.0,0.0,0
1,98990.24,0.0,0.0,0
1,380960.49,0.0,0.0,0
4,7240965.96,7240965.96,0.0,1
1,1030417.74,1030417.74,0.0,1
4,48156.69,48156.69,0.0,1
2,22339.8,103965.0,81625.2,0
2,20337.62,0.0,0.0,0
4,37394.15,37394.15,0.0,1
1,61758.9,72151.0,10392.1,0
2,20503.35,19843.0,0.0,0
1,466121.83,138929.26,0.0,0
4,946705.53,946705.53,0.0,1
3,193574.91,8883079.13,9076654.05,0
1,1314660.84,1314660.84,0.0,1
1,567932.31,567932.31,0.0,1
1,99458.21,99458.21,0.0,1
1,2329379.8,2329379.8,0.0,1
4,335859.86,335859.86,0.0,1
3,165561.27,5125535.41,5291096.68,0
4,97091.24,97091.24,0.0,1
1,158592.21,0.0,0.0,0
1,9465988.82,9465988.82,0.0,1
1,438224.6,438224.6,0.0,1
4,2068118.36,2068118.36,0.0,1
1,335485.48,0.0,0.0,0
3,25626.79,20266.0,45892.79,0
4,255937.1,1278.0,0.0,0
1,1082718.08,1082718.08,0.0,1
2,37422.26,359439.68,322017.42,0
4,130987.75,130987.75,0.0,1
1,10000000.0,10000000.0,0.0,1
4,210952.24,210952.24,0.0,1
4,56290.17,56290.17,0.0,1
4,106290.68,106290.68,0.0,1
1,526071.46,526071.46,0.0,1
2,4153.23,0.0,0.0,0
1,508418.56,0.0,0.0,0
4,4289.18,4289.18,0.0,1
1,537539.57,537539.57,0.0,1
4,703882.14,703882.14,0.0,1
1,259186.43,259186.43,0.0,1
4,1319703.76,1319703.76,0.0,1
4,264949.69,264949.69,0.0,1
4,3150438.28,3150438.28,0.0,1
3,247334.65,3966.0,251300.65,0
3,64417.09,5825170.48,5889587.57,0
1,183093.65,90484.0,0.0,0
4,10211.81,10211.81,0.0,1
1,30202.24,0.0,0.0,0
4,871745.76,871745.76,0.0,1
4,777448.03,777448.03,0.0,1
1,240426.39,48251.0,0.0,0
3,13527.54,4582776.94,4596304.48,0
1,27077.31,0.0,0.0,0
2,8063.6,162.0,0.0,0
1,137086.21,0.0,0.0,0
4,343972.5,343972.5,0.0,1
1,396736.96,0.0,0.0,0
4,84771.55,84771.55,0.0,1
2,23301.36,0.0,0.0,0
1,314123.06,5188.0,0.0,0
4,26768.5,26768.5,0.0,1
1,144314.71,29829.0,0.0,0
2,5415.54,0.0,0.0,0
1,280419.79,0.0,0.0,0
1,3260215.75,3260215.75,0.0,1
2,25958.86,8051.0,0.0,0
1,2914653.69,2914653.69,0.0,1
2,10816.69,10785.0,0.0,0
1,250609.48,21108.0,0.0,0
1,161294.31,21451.0,0.0,0
2,2703.6,19525.65,16822.05,0
1,282207.64,0.0,0.0,0
2,2277.01,46843.0,44565.99,0
1,357226.8,357226.8,0.0,1
4,225827.15,356691.0,130863.85,0
1,780066.22,780066.22,0.0,1
2,35007.76,0.0,0.0,0
1,90026.9,90026.9,0.0,1
4,146061.11,146061.11,0.0,1
1,3242183.64,3242183.64,0.0,1
3,9406.14,2331345.23,2340751.37,0
1,250307.54,0.0,0.0,0
3,319058.83,23194.07,342252.91,0
2,4136.78,0.0,0.0,0
3,108232.88,1150576.02,1258808.89,0
2,3319.01,0.0,0.0,0
1,99161.74,0.0,0.0,0
1,7476725.66,7476725.66,0.0,1
1,71554.74,71554.74,0.0,1
4,3942900.14,0.0,0.0,0
1,279356.27,57800.01,0.0,0
1,7677120.59,7677120.59,0.0,1
1,93802.89,0.0,0.0,0
1,42597.89,0.0,0.0,0
3,72262.87,176.0,72438.87,0
2,26129.77,905795.72,879665.95,0
3,47389.48,3085705.35,3133094.83,0
1,2480321.85,2480321.85,0.0,1
4,322113.91,322113.91,0.0,1
2,4237.21,0.0,0.0,0
1,88099.88,88099.88,0.0,1
4,1360658.03,158710.0,0.0,0
1,172342.54,69735.29,0.0,0
1,100164.35,1078.0,0.0,0
1,1425802.24,1425802.24,0.0,1
3,422985.58,11141.0,434126.58,0
1,196254.03,196254.03,0.0,1
2,12640.27,39978.0,27337.73,0
4,69912.57,69912.57,0.0,1
1,65892.23,335.0,0.0,0
3,47485.73,2173326.81,2220812.55,0
1,1102133.9,1102133.9,0.0,1
4,3887853.15,3887853.15,0.0,1
1,267398.72,0.0,0.0,0
1,241938.81,21780.14,0.0,0
4,214975.9,214975.9,0.0,1
1,9996886.64,9996886.64,0.0,1
1,407546.37,99072.04,0.0,0
1,127916.86,73614.0,0.0,0
1,115461.48,115461.48,0.0,1
3,49495.91,58322.0,107817.91,0
1,269187.87,269187.87,0.0,1
4,269722.42,269722.42,0.0,1
4,2754740.54,2754740.54,0.0,1
1,829885.13,829885.13,0.0,1
3,110236.68,40199.0,150435.68,0
4,164382.72,164382.72,0.0,1
3,91685.31,287.0,91972.31,0
2,28688.63,2129.0,0.0,0
3,183616.21,31742.0,215358.21,0
4,1035401.2,1035401.2,0.0,1
4,11506.37,0.0,0.0,0
2,11382.32,76166.59,64784.27,0
4,441468.0,0.0,0.0,0
4,75659.33,75659.33,0.0,1
2,1252.09,23045.0,21792.91,0
4,760625.76,760625.76,0.0,1
1,291264.2,291264.2,0.0,1
1,323759.71,0.0,0.0,0
1,85637.08,85637.08,0.0,1
1,6250438.78,6250438.78,0.0,1
4,799123.57,799123.57,0.0,1
4,91691.75,91691.75,0.0,1
1,112668.54,112668.54,0.0,1
4,983417.49,983417.49,0.0,1
2,8265.51,50105.0,41839.49,0
4,39664.74,39664.74,0.0,1
2,42774.47,68972.0,26197.53,0
3,27770.84,3300358.84,3328129.68,0
1,312781.89,0.0,0.0,0
4,1486052.97,1486052.97,0.0,1
1,120232.13,120232.13,0.0,1
4,455788.55,455788.55,0.0,1
4,455014.69,455014.69,0.0,1
1,357882.83,357882.83,0.0,1
4,10000000.0,24953893.08,14953893.08,1
1,1330802.24,1330802.24,0.0,1
3,78799.33,9061.0,87860.33,0
1,1016540.35,1016540.35,0.0,1
1,1494432.21,1494432.21,0.0,1
1,4531343.47,4531343.47,0.0,1
1,117514.51,47141.0,0.0,0
3,157741.99,3657947.07,3815689.06,0
2,4045.35,0.0,0.0,0
2,19265.34,0.0,0.0,0
2,11806.73,30812.0,19005.27,0
1,60497.53,0.0,0.0,0
4,1732090.28,1732090.28,0.0,1
1,28655.78,0.0,0.0,0
1,388884.68,32840.0,0.0,0
2,38444.59,250271.73,211827.14,0
3,470354.05,22680.0,493034.05,0
4,538312.05,538312.05,0.0,1
2,28428.97,0.0,0.0,0
4,94493.21,17889.0,0.0,0
4,296349.8,296349.8,0.0,1
1,162640.75,0.0,0.0,0
3,135166.05,30598.0,165764.05,0
1,55828.87,55828.87,0.0,1
1,134725.66,134725.66,0.0,1
2,41060.55,68707.0,27646.45,0
4,21832.43,21832.43,0.0,1
1,718350.64,718350.64,0.0,1
1,1936403.59,1936403.59,0.0,1
1,164500.81,164500.81,0.0,1
4,417129.11,417129.11,0.0,1
3,213023.48,4169016.17,4382039.64,0
4,3092085.39,3092085.39,0.0,1
1,32690.68,32690.68,0.0,1
4,577271.19,21072.0,0.0,0
1,55247.48,55247.48,0.0,1
3,207993.79,4451999.47,4659993.27,0
4,132897.0,99104.0,0.0,0
4,261742.96,261742.96,0.0,1
1,210592.2,5533.0,0.0,0
4,234673.76,234673.76,0.0,1
4,79323.25,79323.25,0.0,1
4,59385.67,59385.67,0.0,1
4,2985840.4,2985840.4,0.0,1
2,7132.54,651.0,0.0,0
1,238090.99,45584.0,0.0,0
4,7068115.67,7068115.67,0.0,1
4,228537.6,0.0,0.0,0
1,216345.61,107155.0,0.0,0
1,130720.0,0.0,0.0,0
4,1244037.74,1244037.74,0.0,1
1,906270.63,906270.63,0.0,1
1,32955.68,0.0,0.0,0
2,4067.01,0.0,0.0,0
1,487412.29,20017.0,0.0,0
1,1516823.73,1516823.73,0.0,1
1,762782.66,762782.66,0.0,1
2,21264.2,0.0,0.0,0
2,3410.85,2009.0,0.0,0
3,100808.42,76.0,100884.42,0
3,295051.56,306041.0,601092.56,0
1,486060.16,486060.16,0.0,1
1,222517.07,222517.07,0.0,1
1,1232013.7,1232013.7,0.0,1
1,204030.2,204030.2,0.0,1
4,90026.9,90026.9,0.0,1
1,934590.45,934590.45,0.0,1
4,639991.03,639991.03,0.0,1
4,8775594.43,8775594.43,0.0,1
2,2842.22,0.0,0.0,0
2,3210.78,731043.24,727832.46,0
1,75420.22,16133.0,0.0,0
2,1025.85,86373.22,85347.37,0
4,460311.25,0.0,0.0,0
1,414158.17,0.0,0.0,0
1,813775.73,813775.73,0.0,1
4,581889.94,581889.94,0.0,1
1,12876.55,31582.0,18705.45,0
3,98028.83,8389471.76,8487500.59,0
4,411085.22,0.0,0.0,0
1,707870.44,707870.44,0.0,1
1,98692.72,98692.72,0.0,1
3,169139.37,1444871.96,1614011.33,0
3,193687.4,5948419.76,6142107.16,0
4,157272.13,157272.13,0.0,1
3,79827.88,3897532.34,3977360.22,0
1,378204.02,378204.02,0.0,1
4,1265033.25,1265033.25,0.0,1
2,3435.99,101256.66,97820.67,0
1,412537.68,0.0,0.0,0
1,594471.04,594471.04,0.0,1
4,30548.46,30548.46,0.0,1
2,19090.74,0.0,0.0,0
3,163122.85,10.0,163132.85,0
1,50247.17,0.0,0.0,0
4,2392482.86,2392482.86,0.0,1
1,249984.75,249984.75,0.0,1
2,783.31,18787.0,18003.69,0
2,9795.05,14241.0,4445.95,0
1,248818.77,0.0,0.0,0
1,570649.33,570649.33,0.0,1
1,144545.87,0.0,0.0,0
4,736521.51,736521.51,0.0,1
3,293362.76,454519.9,747882.66,0
2,1304.3,0.0,0.0,0
4,3642569.29,3642569.29,0.0,1
4,1632500.22,1632500.22,0.0,1
1,141156.34,0.0,0.0,0
4,107351.33,107351.33,0.0,1
1,378997.97,11185.0,0.0,0
4,4672401.04,4672401.04,0.0,1
1,19086.99,0.0,0.0,0
1,12279.97,0.0,0.0,0
2,3088.69,51189.0,48100.31,0
3,76864.5,5048.0,81912.5,0
1,412511.32,412511.32,0.0,1
4,1268931.21,1268931.21,0.0,1
4,87438.83,87438.83,0.0,1
2,9077.32,0.0,0.0,0
1,79712.37,79712.37,0.0,1
4,274627.92,0.0,0.0,0
3,252592.54,323706.0,576298.54,0
1,144469.36,919.0,0.0,0
1,221885.3,32744.0,0.0,0
